Cordon;Vehicle Type;Year;value
Inner Ring Road;All Vehicles (inc. pedal cycles);2009;38944
Inner Ring Road;All Vehicles (inc. pedal cycles);2010;36701
Inner Ring Road;All Vehicles (inc. pedal cycles);2011;37191
Inner Ring Road;All Vehicles (inc. pedal cycles);2013;35986
Inner Ring Road;All Vehicles (inc. pedal cycles);2016;33915
Inner Ring Road;All Vehicles (inc. pedal cycles);2017;34155
Inner Ring Road;All Vehicles (inc. pedal cycles);2022;30633
Inner Ring Road;Peds;2010;35407
Inner Ring Road;Peds;2015;40806
Inner Ring Road;Peds;2022;34050
Inner Ring Road;Cycles;2014;1423
Inner Ring Road;Cycles;2022;3530
Inner Ring Road;All Motor Vehicles;2011;35471
Inner Ring Road;All Motor Vehicles;2012;37470
Inner Ring Road;All Motor Vehicles;2016;31943
Central Transport Zone;All Vehicles (inc. pedal cycles);2009;128229
Central Transport Zone;All Vehicles (inc. pedal cycles);2010;118874
Central Transport Zone;All Vehicles (inc. pedal cycles);2011;127867
Central Transport Zone;All Vehicles (inc. pedal cycles);2015;134650
Central Transport Zone;All Vehicles (inc. pedal cycles);2018;134644
Central Transport Zone;All Vehicles (inc. pedal cycles);2019;137340
Central Transport Zone;All Vehicles (inc. pedal cycles);2022;128889
Central Transport Zone;Peds;2010;13906
Central Transport Zone;Peds;2012;17202
Central Transport Zone;Peds;2017;24714
Central Transport Zone;Peds;2022;17215
Central Transport Zone;Cycles;2013;1966
Central Transport Zone;Cycles;2016;4244
Central Transport Zone;Cycles;2018;3621
Central Transport Zone;All Motor Vehicles;2011;125728
Central Transport Zone;All Motor Vehicles;2013;117396
Central Transport Zone;All Motor Vehicles;2015;131992
Central Transport Zone;All Motor Vehicles;2022;124991
Outer Ring Road;All Vehicles (inc. pedal cycles);2009;175265
Outer Ring Road;All Vehicles (inc. pedal cycles);2012;178447
Outer Ring Road;All Vehicles (inc. pedal cycles);2019;188146
Outer Ring Road;Peds;2009;6532
Outer Ring Road;Peds;2010;6014
Outer Ring Road;Peds;2011;6637
Outer Ring Road;Peds;2015;7524
Outer Ring Road;Peds;2022;6309
Outer Ring Road;Cycles;2009;1557
Outer Ring Road;Cycles;2011;2175
Outer Ring Road;Cycles;2018;2418
Outer Ring Road;All Motor Vehicles;2014;176271
