DATE;Location;GEOGRAPHY_CODE;Gender;Age Group;Claimant Count;Claimant Rate (% of population);partlookup;lookup;Population;partdem;demographic_category
2018-03-01;England;E92000001;Male;Aged 55-59;40320;2.156536063947285;EnglandMale;EnglandMaleAged 55-59;1869665;England Male;England Male Aged 55-59
2018-03-01;England;E92000001;Male;Aged 60-64;30370;1.8958014583376248;EnglandMale;EnglandMaleAged 60-64;1601961;England Male;England Male Aged 60-64
2018-04-01;Leicester;E06000016;Total;Aged 30-34;515;1.872863480980435;LeicesterTotal;LeicesterTotalAged 30-34;27498;Leicester Total;Leicester Total Aged 30-34
2018-04-01;Leicester;E06000016;Total;Aged 35-39;480;1.7615971814445095;LeicesterTotal;LeicesterTotalAged 35-39;27248;Leicester Total;Leicester Total Aged 35-39
2018-04-01;Leicester;E06000016;Total;Aged 40-44;430;1.7416663291344323;LeicesterTotal;LeicesterTotalAged 40-44;24689;Leicester Total;Leicester Total Aged 40-44
2018-04-01;Leicester;E06000016;Total;Aged 45-49;430;1.9078042504103998;LeicesterTotal;LeicesterTotalAged 45-49;22539;Leicester Total;Leicester Total Aged 45-49
2018-04-01;Leicester;E06000016;Total;Aged 50-54;415;1.8955830630795232;LeicesterTotal;LeicesterTotalAged 50-54;21893;Leicester Total;Leicester Total Aged 50-54
2018-04-01;Leicester;E06000016;Total;Aged 60-64;265;1.5343639627120607;LeicesterTotal;LeicesterTotalAged 60-64;17271;Leicester Total;Leicester Total Aged 60-64
2018-04-01;Leicester;E06000016;Male;Aged 16-24;545;1.856962758526696;LeicesterMale;LeicesterMaleAged 16-24;29349;Leicester Male;Leicester Male Aged 16-24
2018-04-01;Leicester;E06000016;Male;Aged 35-39;310;2.3465294073120884;LeicesterMale;LeicesterMaleAged 35-39;13211;Leicester Male;Leicester Male Aged 35-39
2018-04-01;Leicester;E06000016;Male;Aged 55-59;250;2.5877238381119967;LeicesterMale;LeicesterMaleAged 55-59;9661;Leicester Male;Leicester Male Aged 55-59
2018-04-01;Leicester;E06000016;Female;Aged 16-24;325;1.0735993657505285;LeicesterFemale;LeicesterFemaleAged 16-24;30272;Leicester Female;Leicester Female Aged 16-24
2018-04-01;Leicester;E06000016;Female;Aged 30-34;170;1.1934011934011934;LeicesterFemale;LeicesterFemaleAged 30-34;14245;Leicester Female;Leicester Female Aged 30-34
2018-04-01;Leicester;E06000016;Female;Aged 55-59;140;1.4265335235378032;LeicesterFemale;LeicesterFemaleAged 55-59;9814;Leicester Female;Leicester Female Aged 55-59
2018-04-01;Leicester;E06000016;Female;Aged 60-64;110;1.27669452181987;LeicesterFemale;LeicesterFemaleAged 60-64;8616;Leicester Female;Leicester Female Aged 60-64
2018-04-01;Leicester;E06000016;Female;Aged 65+;0;0.0;LeicesterFemale;LeicesterFemaleAged 65+;23518;Leicester Female;Leicester Female Aged 65+
2018-04-01;England;E92000001;Total;Aged 30-34;87800;2.22133110356893;EnglandTotal;EnglandTotalAged 30-34;3952585;England Total;England Total Aged 30-34
2018-04-01;England;E92000001;Total;Aged 55-59;68535;1.8005348404214094;EnglandTotal;EnglandTotalAged 55-59;3806369;England Total;England Total Aged 55-59
2018-04-01;England;E92000001;Total;Aged 60-64;51725;1.5886066269082475;EnglandTotal;EnglandTotalAged 60-64;3255998;England Total;England Total Aged 60-64
2018-04-01;England;E92000001;Total;Aged 65+;135;0.0012979138102548074;EnglandTotal;EnglandTotalAged 65+;10401307;England Total;England Total Aged 65+
2018-04-01;England;E92000001;Male;All categories: Age 16+;454220;2.5916303838222743;EnglandMale;EnglandMaleAll categories: Age 16+;17526419;England Male;England Male All categories: Age 16+
2018-04-01;England;E92000001;Male;Aged 35-39;46005;2.4976858198441287;EnglandMale;EnglandMaleAged 35-39;1841905;England Male;England Male Aged 35-39
2018-04-01;England;E92000001;Male;Aged 55-59;41255;2.206545022771459;EnglandMale;EnglandMaleAged 55-59;1869665;England Male;England Male Aged 55-59
2018-04-01;England;E92000001;Male;Aged 65+;100;0.002100526139787494;EnglandMale;EnglandMaleAged 65+;4760712;England Male;England Male Aged 65+
2018-04-01;England;E92000001;Female;All categories: Age 16+;297030;1.6429338330150218;EnglandFemale;EnglandFemaleAll categories: Age 16+;18079243;England Female;England Female All categories: Age 16+
2018-04-01;England;E92000001;Female;Aged 16-24;54335;1.838045011552266;EnglandFemale;EnglandFemaleAged 16-24;2956130;England Female;England Female Aged 16-24
2018-04-01;England;E92000001;Female;Aged 25-29;37255;1.9635032418489975;EnglandFemale;EnglandFemaleAged 25-29;1897374;England Female;England Female Aged 25-29
2018-04-01;England;E92000001;Female;Aged 55-59;27280;1.4085786986550346;EnglandFemale;EnglandFemaleAged 55-59;1936704;England Female;England Female Aged 55-59
2018-05-01;Leicester;E06000016;Total;All categories: Age 16+;4335;1.7513594751173633;LeicesterTotal;LeicesterTotalAll categories: Age 16+;247522;Leicester Total;Leicester Total All categories: Age 16+
2018-05-01;Leicester;E06000016;Total;Aged 40-44;425;1.7214143950747298;LeicesterTotal;LeicesterTotalAged 40-44;24689;Leicester Total;Leicester Total Aged 40-44
2018-05-01;Leicester;E06000016;Total;Aged 55-59;380;1.951219512195122;LeicesterTotal;LeicesterTotalAged 55-59;19475;Leicester Total;Leicester Total Aged 55-59
2018-05-01;Leicester;E06000016;Total;Aged 60-64;285;1.65016501650165;LeicesterTotal;LeicesterTotalAged 60-64;17271;Leicester Total;Leicester Total Aged 60-64
2018-05-01;Leicester;E06000016;Male;Aged 16-24;540;1.8399264029438822;LeicesterMale;LeicesterMaleAged 16-24;29349;Leicester Male;Leicester Male Aged 16-24
2018-05-01;Leicester;E06000016;Male;Aged 25-29;385;2.852485737571312;LeicesterMale;LeicesterMaleAged 25-29;13497;Leicester Male;Leicester Male Aged 25-29
2018-05-01;Leicester;E06000016;Male;Aged 30-34;340;2.5654568776880704;LeicesterMale;LeicesterMaleAged 30-34;13253;Leicester Male;Leicester Male Aged 30-34
2018-05-01;Leicester;E06000016;Male;Aged 45-49;275;2.4599695858305752;LeicesterMale;LeicesterMaleAged 45-49;11179;Leicester Male;Leicester Male Aged 45-49
2018-05-01;Leicester;E06000016;Male;Aged 55-59;245;2.535969361349757;LeicesterMale;LeicesterMaleAged 55-59;9661;Leicester Male;Leicester Male Aged 55-59
2018-05-01;Leicester;E06000016;Male;Aged 60-64;165;1.9064124783362217;LeicesterMale;LeicesterMaleAged 60-64;8655;Leicester Male;Leicester Male Aged 60-64
2018-05-01;Leicester;E06000016;Male;Aged 65+;0;0.0;LeicesterMale;LeicesterMaleAged 65+;19987;Leicester Male;Leicester Male Aged 65+
2018-05-01;Leicester;E06000016;Female;All categories: Age 16+;1600;1.2756627466613515;LeicesterFemale;LeicesterFemaleAll categories: Age 16+;125425;Leicester Female;Leicester Female All categories: Age 16+
2018-05-01;Leicester;E06000016;Female;Aged 30-34;165;1.1583011583011582;LeicesterFemale;LeicesterFemaleAged 30-34;14245;Leicester Female;Leicester Female Aged 30-34
